baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
65152.36381991259	2.9563479140654882	0.14425689167126465	20.493633820992553	2.4537743828227573e-93	5.619143336664114e-91	ENSG00000160191
19987.22752176081	3.2930446390922214	0.1723686336822774	19.10466288873766	2.3091405540928647e-81	2.64396593443633e-79	ENSG00000154734
9242.658938819217	2.744740162570296	0.17994930684877958	15.252852098379233	1.5759611402185962e-52	1.2029836703668618e-50	ENSG00000183145
5645.98119178501	2.9471314046628656	0.20445066297332043	14.414878199966749	4.171744812847148e-47	2.3883239053549922e-45	ENSG00000142168
11088.85431399938	3.1488737364312946	0.21928983827745863	14.35941474154015	9.300925985981416e-47	4.259824101579488e-45	ENSG00000276289
9477.503348695733	3.2385798686950307	0.24181316989508353	13.392901098398266	6.65303618517329e-41	2.5392421440078054e-39	ENSG00000154723
25622.27379127873	2.5724940069775504	0.22168298732419373	11.60438172558313	3.915069960369295e-31	1.2807871727493837e-29	ENSG00000180509
33677.30900379684	3.0193145757335405	0.2688423150253363	11.230801131321138	2.8785660323077824e-29	8.239895267481027e-28	ENSG00000156299
2370.5291410689124	1.6227325915181827	0.32081915333405114	5.058091372208446	4.234735281629936e-7	1.077504866103617e-5	ENSG00000275993
9048.386078835183	2.5798311478300655	0.5681939469172096	4.54040589806911	5.614603381257784e-6	1.2857441743080325e-4	ENSG00000142178
291.05947314588275	-1.2945321293059928	0.3267192723501059	-3.962215390583993	7.425750183226786e-5	0.0015459061745081216	ENSG00000222018
438.507560874818	-1.2128595178871533	0.31738699469447046	-3.8213900952517	1.3270155101827847e-4	0.0025323879319321474	ENSG00000215455
1445.220173066438	-0.6304701566748134	0.20563507634777353	-3.0659660203522456	0.002169679707235498	0.03821974253514839	ENSG00000166351
659.9967808357319	1.0028975276804186	0.3478757343845293	2.882918894744903	0.003940088738903729	0.06444859437206814	ENSG00000156284
3338.8561846055395	0.45768030908724305	0.17148534026852286	2.6689179866370942	0.007609602875095136	0.11617327055978575	ENSG00000157557
7386.721293373652	0.4030243971435476	0.1599585186636118	2.519555698006284	0.011750304844035506	0.16817623808025817	ENSG00000160183
4443.402827501494	0.3752015805432264	0.16813905735803444	2.231495682435486	0.02564831319514844	0.3363708235161458	ENSG00000154721
6913.115868952552	-0.577529374845617	0.2609828314219617	-2.212901790125256	0.0269044172635533	0.3363708235161458	ENSG00000171587
494.45117630445185	0.5544693123119576	0.25497744487610075	2.174581804996072	0.02966146903481356	0.3363708235161458	ENSG00000276612
8144.577752015676	-0.3958706154306861	0.18297879817274693	-2.1634780607584485	0.03050442936855449	0.3363708235161458	ENSG00000205581
